sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos;nm_mun_clean;geocodigo
PB;DONA INÊS;Prefeito;13;ELIANE FERREIRA GOMES;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;11;DONA INÊS;2505709.0
SE;PEDRINHAS;Prefeito;11;ELIANE DOS REIS SANTOS;PP;PP / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;3110;PEDRINHAS;2805109.0
SP;BARRA DO TURVO;Prefeito;44;ELIANE DE FATIMA DE OLIVEIRA;UNIÃO;UNIÃO / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2190;BARRA DO TURVO;3505401.0
PI;MONSENHOR GIL;Prefeito;13;ELIANE DA SILVA MOURA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;2450;MONSENHOR GIL;2206407.0
SC;CAMBORIÚ;Prefeito;13;ELIANE CRISTINA ROSALINO GARIM;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;710;CAMBORIÚ;
SC;CORUPÁ;Prefeito;22;ELIANE CRISTINA MULLER;PL;REPUBLICANOS / PP / PL;Não eleito;11;SUL;2268;CORUPÁ;
CE;SALITRE;Prefeito;15;ELIANE BATISTA PEREIRA;MDB;MDB / PRD;Não eleito;11;NORDESTE;83;SALITRE;2311959.0
GO;MONTIVIDIU;Prefeito;25;ELIANE APARECIDA PEREIRA;PRD;PRD / AGIR;Não eleito;11;CENTRO-OESTE;351;MONTIVIDIU;5213756.0
SP;HORTOLÂNDIA;Prefeito;50;ELIANE APARECIDA GARCIA;PSOL;Federação PSOL REDE (PSOL / REDE);Não eleito;11;SUDESTE;2197;HORTOLÂNDIA;3519071.0
MG;SÃO SEBASTIÃO DA VARGEM ALEGRE;Prefeito;77;ELIANE APARECIDA DE SOUZA OLIVEIRA;SOLIDARIEDADE;SOLIDARIEDADE;Não eleito;11;SUDESTE;1052;SÃO SEBASTIÃO DA VARGEM ALEGRE;3164431.0
SC;GUARUJÁ DO SUL;Prefeito;22;ELIANE APARECIDA DE SOUZA FANTON;PL;PP / MDB / PL;Eleito;11;SUL;1848;GUARUJÁ DO SUL;4206603.0
PA;TUCURUÍ;Prefeito;77;ELIANE ALVES DA SILVA;SOLIDARIEDADE;SOLIDARIEDADE / PL;Não eleito;11;NORTE;26740;TUCURUÍ;
PB;MATURÉIA;Prefeito;10;ELIANDRO MACEDO SANTOS;REPUBLICANOS;REPUBLICANOS / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;NORDESTE;2625;MATURÉIA;2509396.0
SP;EMBAÚBA;Prefeito;22;ELIANA ROGERIA DE ALMEIDA BRUNELI;PL;PL;Não eleito;11;SUDESTE;707;EMBAÚBA;3514957.0
BA;MIGUEL CALMON;Prefeito;55;ELIANA MARIA VALOIS DE MIRANDA LANDIN;PSD;PSD / SOLIDARIEDADE / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;6700;MIGUEL CALMON;2921203.0
SP;RIBEIRÃO DO SUL;Prefeito;23;ELIANA MARIA RORATO MANSO;CIDADANIA;REPUBLICANOS / PP / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;1994;RIBEIRÃO DO SUL;3543204.0
MG;CAMPESTRE;Prefeito;44;ELIANA MARIA MUNIZ;UNIÃO;PP / PSD / UNIÃO / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;6886;CAMPESTRE;3111002.0
BA;CACHOEIRA;Prefeito;13;ELIANA GONZAGA DE JESUS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / REPUBLICANOS / PODE / PMB / PSB;Eleito;11;NORDESTE;8359;CACHOEIRA;2904902.0
RJ;SANTA MARIA MADALENA;Prefeito;15;ELIANA DE SOUZA MACHADO GONZAGA;MDB;MDB;Não eleito;11;SUDESTE;86;SANTA MARIA MADALENA;3304607.0
SP;ARARAQUARA;Prefeito;13;ELIANA APARECIDA MORI HONAIN;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / Federação PSOL REDE (PSOL / REDE) / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / MDB / PP / PDT / PODE / PSB;Não eleito;11;SUDESTE;50647;ARARAQUARA;3503208.0
SP;QUATÁ;Prefeito;20;ELIANA APARECIDA CASACA BETINE;PODE;PODE / NOVO;Não eleito;11;SUDESTE;3765;QUATÁ;
MG;JAÍBA;Prefeito;11;ELIANA ALVES CAMARGO MELO;PP;PP;Não eleito;11;SUDESTE;1066;JAÍBA;3135050.0
SP;SÃO ROQUE;Prefeito;77;ELIAM FERNANDES BIANCHI;SOLIDARIEDADE;SOLIDARIEDADE / PDT / DC / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PRTB;Não eleito;11;SUDESTE;1663;SÃO ROQUE;3550605.0
PR;MARILENA;Prefeito;27;ELIALDO QUERINO DOS SANTOS;DC;DC;Não eleito;11;SUL;39;MARILENA;4115002.0
GO;HIDROLINA;Prefeito;15;ELI GONÇALVES SIQUEIRA;MDB;MDB / UNIÃO;Eleito;11;CENTRO-OESTE;2984;HIDROLINA;5209804.0
MG;NOVA BELÉM;Prefeito;44;ELI DOS REIS;UNIÃO;UNIÃO;Não eleito;11;SUDESTE;842;NOVA BELÉM;3144672.0
BA;SERRA DO RAMALHO;Prefeito;45;ELI CARLOS DOS ANJOS SANTOS;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PDT / REPUBLICANOS / PL;Eleito;11;NORDESTE;14460;SERRA DO RAMALHO;2930154.0
PB;PUXINANÃ;Prefeito;10;ELEUZA MARIA DE OLIVEIRA;REPUBLICANOS;REPUBLICANOS / UNIÃO;Eleito;11;NORDESTE;6876;PUXINANÃ;
GO;NOVA ROMA;Prefeito;44;ELEUSES RODRIGUES GONZAGA;UNIÃO;MDB / UNIÃO;Eleito;11;CENTRO-OESTE;2073;NOVA ROMA;5214903.0
MG;NANUQUE;Prefeito;13;ELEONAI DE SOUZA COSTA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;2541;NANUQUE;3144300.0
PI;CABECEIRAS DO PIAUÍ;Prefeito;10;ELENITA MACEDO SILVA;REPUBLICANOS;REPUBLICANOS;Não eleito;11;NORDESTE;592;CABECEIRAS DO PIAUÍ;
MS;PARANAÍBA;Prefeito;13;ELENITA DA SILVA SANTOS;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;221;PARANAÍBA;5006309.0
PE;CATENDE;Prefeito;77;ELENILTON MANUEL CUNHA DA SILVA;SOLIDARIEDADE;SOLIDARIEDADE / PSB;Não eleito;11;NORDESTE;47;CATENDE;2604205.0
CE;MUCAMBO;Prefeito;40;ELENILSON JOSE DA CONCEIÇÃO;PSB;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Eleito;11;NORDESTE;6947;MUCAMBO;2309003.0
MG;LIMA DUARTE;Prefeito;13;ELENICE PEREIRA DELGADO SANTELLI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV) / PSB / SOLIDARIEDADE;Eleito;11;SUDESTE;6418;LIMA DUARTE;3138609.0
BA;SANTALUZ;Prefeito;55;ELEILTON DOS REIS LIMA;PSD;PSD / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;NORDESTE;9642;SANTALUZ;2928000.0
ES;FUNDÃO;Prefeito;20;ELEAZAR FERREIRA LOPES;PODE;REPUBLICANOS / DC / SOLIDARIEDADE / PODE / AGIR;Eleito;11;SUDESTE;6203;FUNDÃO;3202207.0
ES;PEDRO CANÁRIO;Prefeito;13;ELEANDRO REIS KONOSKI;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1902;PEDRO CANÁRIO;3204054.0
MG;CABECEIRA GRANDE;Prefeito;20;ELDSON AMORIM DUARTE;PODE;PSD / MOBILIZA / PODE;Não eleito;11;SUDESTE;2131;CABECEIRA GRANDE;3109451.0
RS;SETE DE SETEMBRO;Prefeito;13;ELDO IGNACIO GRUNITZKY;PT;PSB / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUL;787;SETE DE SETEMBRO;4320578.0
MG;JEQUITAÍ;Prefeito;15;ELDIMA CALDEIRA BENFICA;MDB;MDB / PODE / SOLIDARIEDADE;Eleito;11;SUDESTE;3475;JEQUITAÍ;
SP;EMBU-GUAÇU;Prefeito;30;ELDHER JHONNATA CALIXTO OLIVEIRA;NOVO;NOVO;Não eleito;11;SUDESTE;748;EMBU-GUAÇU;3515103.0
