sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
SP;PACAEMBU;Prefeito;40;LUZIA JOSE DOS SANTOS VECCHIATTI;PSB;PSB;Não eleito;SUDESTE;136
SP;PACAEMBU;Prefeito;43;ADÃO APARECIDO VISCARDI;PV;PV / REPUBLICANOS;Não eleito;SUDESTE;2146
SP;PACAEMBU;Prefeito;45;MARCOS LEANDRO LOURENCETTI;PSDB;PP / PTB / PSDB;Não eleito;SUDESTE;1102
SP;PALESTINA;Prefeito;14;FERNANDO RICARDO SÔNEGO SIQUEIRA;PTB;PTB / PODE / REPUBLICANOS;Não eleito;SUDESTE;2502
SP;PALESTINA;Prefeito;45;REINALDO APARECIDO DA CUNHA;PSDB;PP / MDB / PSC / SOLIDARIEDADE / DEM / PL / PSDB;Eleito;SUDESTE;3001
SP;PALESTINA;Prefeito;55;ANTONIO ALVES GARCIA;PSD;AVANTE / PSD;Não eleito;SUDESTE;1515
SP;PALMARES PAULISTA;Prefeito;10;JEAN CARLOS ALBERTO;REPUBLICANOS;REPUBLICANOS;Não eleito;SUDESTE;1222
SP;PALMARES PAULISTA;Prefeito;15;CELIO PIVETTA;MDB;PP / MDB / DEM / PSDB;Não eleito;SUDESTE;1471
SP;PALMARES PAULISTA;Prefeito;19;CLEBER MATIA ALVES;PODE;PODE;Não eleito;SUDESTE;989
SP;PALMARES PAULISTA;Prefeito;43;LUCAS APARECIDO DA ASSUMÇÃO;PV;PV;Eleito;SUDESTE;2297
SP;PALMEIRA D'OESTE;Prefeito;11;ELTON JOSE HONORATO;PP;PP / PSDB;Não eleito;SUDESTE;1555
SP;PALMEIRA D'OESTE;Prefeito;25;REINALDO SAVAZI;DEM;MDB / DEM / PSL;Eleito;SUDESTE;3729
SP;PALMITAL;Prefeito;10;CLAYTON BIONDI;REPUBLICANOS;PROS / REPUBLICANOS;Não eleito;SUDESTE;2005
SP;PALMITAL;Prefeito;19;EDUARDO APOLINARIO DE VASCONCELLOS;PODE;PODE / PMN / PSB;Não eleito;SUDESTE;806
SP;PALMITAL;Prefeito;45;LUIS GUSTAVO MENDES MORAES;PSDB;PSDB / PTB / AVANTE / PP / DEM;Eleito;SUDESTE;5029
SP;PALMITAL;Prefeito;51;LEANDRO DE SOUZA;PATRIOTA;PATRIOTA;Não eleito;SUDESTE;117
SP;PALMITAL;Prefeito;55;JOSÉ ROBERTO RONQUI;PSD;PT / MDB / PSL / PSC / PSD;Não eleito;SUDESTE;4416
SP;PANORAMA;Prefeito;19;SLEIMAN EL AISSAMI;PODE;PATRIOTA / PODE / PSL;Não eleito;SUDESTE;1517
SP;PANORAMA;Prefeito;23;GIULIO CESAR LIMA PIRES;CIDADANIA;PSB / CIDADANIA / DEM / PROS;Não eleito;SUDESTE;2803
SP;PANORAMA;Prefeito;45;CARLOS HIROCI OUTI;PSDB;PT / PTB / PSDB;Eleito;SUDESTE;3382
SP;PARAGUAÇU PAULISTA;Prefeito;10;DANTE HENRIQUE MANTOVANI;REPUBLICANOS;REPUBLICANOS;Não eleito;SUDESTE;1442
SP;PARAGUAÇU PAULISTA;Prefeito;19;SERGIO DONIZETE FERREIRA;PODE;PODE;Não eleito;SUDESTE;969
SP;PARAGUAÇU PAULISTA;Prefeito;45;ALMIRA RIBAS GARMS;PSDB;PSDB / PV;Não eleito;SUDESTE;6227
SP;PARAGUAÇU PAULISTA;Prefeito;55;ANTONIO TAKASHI SASADA;PSD;PSD / PATRIOTA;Eleito;SUDESTE;7001
SP;PARAGUAÇU PAULISTA;Prefeito;70;IAN FRANCISCO ZANIRATO SALOMÃO;AVANTE;AVANTE / PROS;Não eleito;SUDESTE;5520
SP;PARAIBUNA;Prefeito;12;JOÃO BATISTA DE OLIVEIRA;PDT;PODE / PDT / PRTB / PSL;Não eleito;SUDESTE;4072
SP;PARAIBUNA;Prefeito;14;AGOSTINHO KLINGER VITORIO;PTB;PTB;Não eleito;SUDESTE;444
SP;PARAIBUNA;Prefeito;40;MARCELO ANDRE DOS SANTOS;PSB;PSB;Não eleito;SUDESTE;856
SP;PARAIBUNA;Prefeito;45;VICTOR DE CASSIO MIRANDA;PSDB;MDB / PSDB;Eleito;SUDESTE;4158
SP;PARANAPANEMA;Prefeito;11;RODOLFO HESSEL FANGANIELLO;PP;PODE / PSB / PP / REPUBLICANOS;Eleito;SUDESTE;6702
SP;PARANAPANEMA;Prefeito;13;CLEIDE MIRIAN FREIRE DE JESUS BREMER;PT;PT;Não eleito;SUDESTE;159
SP;PARANAPANEMA;Prefeito;14;ROSELI SEAWRIGHT;PTB;PL / PTB / PSDB / PSD / SOLIDARIEDADE;Não eleito;SUDESTE;3495
SP;PARANAPUÃ;Prefeito;11;DANIEL JUNIOR DURAN PINATTO;PP;MDB / PSDB / PP;Eleito;SUDESTE;1536
SP;PARANAPUÃ;Prefeito;55;SÉRGIO ANTONIO POLARINI;PSD;PSD / DEM;Não eleito;SUDESTE;1378
SP;PARAPUÃ;Prefeito;11;MARCO ANTONIO MARQUES;PP;PP;Não eleito;SUDESTE;1009
SP;PARAPUÃ;Prefeito;15;GLAUCO JAMES BENVINDO MONTEIRO JUNIOR;MDB;REPUBLICANOS / MDB;Não eleito;SUDESTE;1124
SP;PARAPUÃ;Prefeito;22;GILMAR MARTIN MARTINS;PL;PT / PL / PSDB / PTB / PV;Eleito;SUDESTE;3529
SP;PARAÍSO;Prefeito;15;WILSON FARID CASSEB;MDB;MDB / PODE;Não eleito;SUDESTE;895
SP;PARAÍSO;Prefeito;23;JOSE ROBERTO BARBOZA NETO;CIDADANIA;CIDADANIA / PATRIOTA;Não eleito;SUDESTE;557
SP;PARAÍSO;Prefeito;45;WALDOMIRO ANTONIO SGOBI;PSDB;DEM / PSDB / REPUBLICANOS / PTB;Eleito;SUDESTE;2205
SP;PARDINHO;Prefeito;23;JOSE LUIZ VIRGINIO DOS SANTOS;CIDADANIA;PTB / CIDADANIA;Eleito;SUDESTE;2636
SP;PARDINHO;Prefeito;45;CRISTIANO CAMARGO MOREIRA;PSDB;REPUBLICANOS / PSD / PSDB;Não eleito;SUDESTE;1674
SP;PARIQUERA-AÇU;Prefeito;13;MILENA DIAS TANAKA;PT;PT;Não eleito;SUDESTE;141
SP;PARIQUERA-AÇU;Prefeito;15;MARIO AUGUSTO AMARO MIRANDA;MDB;MDB / CIDADANIA / PSD;Não eleito;SUDESTE;3845
SP;PARIQUERA-AÇU;Prefeito;22;WAGNER BENTO DA COSTA;PL;PL / DEM / REPUBLICANOS;Eleito;SUDESTE;4842
SP;PARIQUERA-AÇU;Prefeito;45;SERGIO CHEMITE;PSDB;PTB / PSL / PSB / PSDB / PATRIOTA;Não eleito;SUDESTE;1594
