sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
RJ;RIO DE JANEIRO;Prefeito;25;EDUARDO DA COSTA PAES;DEM;CIDADANIA / DC / PV / AVANTE / PL / DEM / PSDB;2;Eleito;SUDESTE;1629319
RJ;SÃO GONÇALO;Prefeito;13;DIMAS DE PAIVA GADELHA JUNIOR;PT;PT / PDT / REDE / PROS / PODE;2;Não eleito;SUDESTE;183811
RJ;SÃO GONÇALO;Prefeito;70;NELSON RUAS DOS SANTOS;AVANTE;AVANTE / PL / PSDB;2;Eleito;SUDESTE;189719
RJ;SÃO JOÃO DE MERITI;Prefeito;20;LEONARDO VIEIRA MENDES;PSC;SOLIDARIEDADE / PMN / PSC;2;Não eleito;SUDESTE;92788
RJ;SÃO JOÃO DE MERITI;Prefeito;25;JOAO FERREIRA NETO;DEM;PP / PDT / PODE / PL / DEM / PTC / PV / PSDB / PATRIOTA / MDB / PSB;2;Eleito;SUDESTE;122151
RO;PORTO VELHO;Prefeito;11;CRISTIANE LOPES DA LUZ BENARROSH;PP;PP / PROS;2;Não eleito;NORTE;92015
RO;PORTO VELHO;Prefeito;45;HILDON DE LIMA CHAVES;PSDB;PSD / PL / PSDB / DEM;2;Eleito;NORTE;109992
RR;BOA VISTA;Prefeito;15;ARTHUR HENRIQUE BRANDÃO MACHADO;MDB;MDB / PMB / AVANTE;2;Eleito;NORTE;116792
RR;BOA VISTA;Prefeito;77;JOSE OTACI BARROSO DO NASCIMENTO;SOLIDARIEDADE;SOLIDARIEDADE / PATRIOTA / PT / PSC / PSB / PTC / PRTB / PROS / DC / CIDADANIA / PTB;2;Não eleito;NORTE;20032
RS;CANOAS;Prefeito;14;LUIZ CARLOS GHIORZZI BUSATO;PTB;PL / PDT / REDE / PTB / MDB / DEM;2;Não eleito;SUL;72649
RS;CANOAS;Prefeito;55;JAIRO JORGE DA SILVA;PSD;PSD / SOLIDARIEDADE / AVANTE / PV / PSB / PODE / PATRIOTA;2;Eleito;SUL;82137
RS;CAXIAS DO SUL;Prefeito;13;GILBERTO JOSÉ SPIER VARGAS;PT;PT / PC do B / PSOL;2;Não eleito;SUL;92707
RS;CAXIAS DO SUL;Prefeito;45;ADILÓ ANGELO DIDOMENICO;PSDB;PTB / PSC / PSDB / SOLIDARIEDADE / PROS;2;Eleito;SUL;136590
RS;PELOTAS;Prefeito;13;IVAN ADMAR DORNELLES DUARTE;PT;PT;2;Não eleito;SUL;47941
RS;PELOTAS;Prefeito;45;PAULA SCHILD MASCARENHAS;PSDB;DC / PSL / PTB / PL / PSDB / SOLIDARIEDADE / PSD / REPUBLICANOS;2;Eleito;SUL;105206
RS;PORTO ALEGRE;Prefeito;15;SEBASTIÃO DE ARAÚJO MELO;MDB;MDB / DEM / CIDADANIA / SOLIDARIEDADE / DC / PRTB / PTC;2;Eleito;SUL;370550
RS;PORTO ALEGRE;Prefeito;65;MANUELA PINTO VIEIRA D AVILA;PC do B;PC do B / PT;2;Não eleito;SUL;307745
