sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;ds_sit_tot_turno;cd_cargo;nm_regiao;qt_votos_nom_validos
MG;SANTO ANTÔNIO DO RIO ABAIXO;Prefeito;25;ALEXANDRE RODRIGUES DE SOUZA;PRD;PRD / PODE / Federação PSDB CIDADANIA (PSDB / CIDADANIA);Eleito;11;SUDESTE;1179
RN;VIÇOSA;Prefeito;70;ALEXANDRE RODRIGUES DE ALENCAR;AVANTE;AVANTE;Não eleito;11;NORDESTE;340
MG;ENTRE RIOS DE MINAS;Prefeito;40;ALEXANDRE RESENDE DE SOUSA;PSB;PSB / PL / SOLIDARIEDADE;Não eleito;11;SUDESTE;1174
RJ;RIO DE JANEIRO;Prefeito;22;ALEXANDRE RAMAGEM RODRIGUES;PL;PL / MDB / REPUBLICANOS;Não eleito;11;SUDESTE;948631
GO;PIRENÓPOLIS;Prefeito;13;ALEXANDRE POMPEU DE PINA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;CENTRO-OESTE;713
MG;BARÃO DE MONTE ALTO;Prefeito;22;ALEXANDRE PEREIRA MOREIRA NERES;PL;PL / MDB;Não eleito;11;SUDESTE;2271
MG;RIO DO PRADO;Prefeito;12;ALEXANDRE PEREIRA GOMES;PDT;PDT / Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1763
SP;JAÚ;Prefeito;13;ALEXANDRE PEREIRA DA SILVA;PT;Federação BRASIL DA ESPERANÇA - FE BRASIL (PT / PC do B / PV);Não eleito;11;SUDESTE;1278
SC;SÃO LUDGERO;Prefeito;15;ALEXANDRE PEREIRA;MDB;MDB / PSD / UNIÃO;Não eleito;11;SUL;3725
SP;MOGI MIRIM;Prefeito;10;ALEXANDRE PASSOS BUENO;REPUBLICANOS;REPUBLICANOS / PL / Federação PSDB CIDADANIA (PSDB / CIDADANIA) / PSD / AVANTE;Não eleito;11;SUDESTE;8028
CE;PACAJUS;Prefeito;20;ALEXANDRE OLIVEIRA NOGUEIRA;PODE;PSB / PDT / PODE;Não eleito;11;NORDESTE;12357
ES;VILA VELHA;Prefeito;22;ALEXANDRE OFRANTI RAMALHO;PL;PRTB / PL;Não eleito;11;SUDESTE;42096
MG;SÃO TIAGO;Prefeito;25;ALEXANDRE NONATO ALMEIDA VIVAS;PRD;PRD / Federação PSOL REDE (PSOL / REDE);Eleito;11;SUDESTE;4478
RS;DOM PEDRO DE ALCÂNTARA;Prefeito;15;ALEXANDRE MODEL EVALDT;MDB;REPUBLICANOS / MDB;Eleito;11;SUL;1822
MG;SANTA RITA DO SAPUCAÍ;Prefeito;22;ALEXANDRE MARCIO DA SILVA;PL;PL / PRD / DC / PMB / AGIR;Não eleito;11;SUDESTE;5914
RN;GROSSOS;Prefeito;22;ALEXANDRE MANOEL DE PAIVA FILHO;PL;PL / PODE;Não eleito;11;NORDESTE;3830
